1,1.0
2,0.9956
3,0.9913
4,0.9875
5,0.9841
6,0.9817
7,0.9789
8,0.9753
9,0.9709
10,0.9668
11,0.962
12,0.9572
13,0.9507
14,0.9415
15,0.9319
16,0.9193
17,0.8968
18,0.864
19,0.813
20,0.7414
21,0.6727
22,0.6042
23,0.5445
24,0.4913
25,0.4449
26,0.398
27,0.3561
28,0.3226
29,0.2901
30,0.2596
31,0.2355
32,0.2129
33,0.1937
34,0.1751
35,0.1563
36,0.1412
37,0.1286
38,0.1141
39,0.1019
40,0.0908
41,0.0821
42,0.0727
43,0.0643
44,0.0578
45,0.0525
46,0.0472
47,0.0434
48,0.0391
49,0.0354
50,0.0316
51,0.0279
52,0.026
53,0.0239
54,0.0216
55,0.02
56,0.0181
57,0.0162
58,0.0142
59,0.0124
60,0.0109
step_size,residual_node_ratio
60,0.009
