step_size,residual_node_ratio
5,0.3392
10,0.307
15,0.2964
20,0.2931
25,0.2918
30,0.2916
35,0.2916
40,0.2916
45,0.2916
50,0.2916
55,0.2916
60,0.2916
65,0.2916
70,0.2916
75,0.2916
80,0.2916
85,0.2916
90,0.2916
95,0.2916
100,0.2916
105,0.2916
110,0.2916
115,0.2916
120,0.2916
125,0.2916
130,0.2916
135,0.2916
140,0.2916
145,0.2916
150,0.2916
155,0.2916
160,0.2916
165,0.2916
170,0.2916
175,0.2916
180,0.2916
185,0.2916
190,0.2916
195,0.2916
200,0.2916
205,0.2916
210,0.2916
215,0.2916
220,0.2916
225,0.2916
230,0.2916
235,0.2916
240,0.2916
245,0.2916
250,0.2916
255,0.2916
260,0.2916
265,0.2916
270,0.2916
275,0.2916
280,0.2916
285,0.2916
290,0.2916
295,0.2916
300,0.2916
305,0.2916
310,0.2916
315,0.2916
320,0.2916
325,0.2916
330,0.2916
335,0.2916
340,0.2916
345,0.2916
350,0.2916
355,0.2916
360,0.2916
365,0.2916
370,0.2916
375,0.2916
380,0.2916
385,0.2916
390,0.2916
395,0.2916
400,0.2916
405,0.2916
410,0.2916
415,0.2916
420,0.2916
425,0.2916
430,0.2916
435,0.2916
440,0.2916
445,0.2916
450,0.2916
455,0.2916
460,0.2916
465,0.2916
470,0.2916
475,0.2916
480,0.2916
485,0.2916
490,0.2916
495,0.2916
500,0.2916
505,0.2916
510,0.2916
515,0.2916
520,0.2916
525,0.2916
530,0.2916
535,0.2916
540,0.2916
545,0.2916
550,0.2916
555,0.2916
560,0.2916
565,0.2916
570,0.2916
575,0.2916
580,0.2916
585,0.2916
590,0.2916
595,0.2916
600,0.2916
605,0.2916
610,0.2916
615,0.2916
620,0.2916
625,0.2916
630,0.2916
635,0.2916
640,0.2916
645,0.2916
650,0.2916
655,0.2916
660,0.2916
665,0.2916
670,0.2916
675,0.2916
680,0.2916
685,0.2916
690,0.2916
695,0.2916
700,0.2916
705,0.2916
710,0.2916
715,0.2916
720,0.2916
725,0.2916
730,0.2916
735,0.2916
740,0.2916
745,0.2916
750,0.2916
755,0.2916
760,0.2916
765,0.2916
770,0.2916
775,0.2916
780,0.2916
785,0.2916
790,0.2916
795,0.2916
800,0.2916
805,0.2916
810,0.2916
815,0.2916
820,0.2916
825,0.2916
830,0.2916
835,0.2916
840,0.2916
845,0.2916
850,0.2916
855,0.2916
860,0.2916
865,0.2916
870,0.2916
875,0.2916
880,0.2916
885,0.2916
890,0.2916
895,0.2916
900,0.2916
905,0.2916
910,0.2916
915,0.2916
920,0.2916
925,0.2916
930,0.2916
935,0.2916
940,0.2916
945,0.2916
950,0.2916
955,0.2916
960,0.2916
965,0.2916
970,0.2916
975,0.2916
980,0.2916
985,0.2916
990,0.2916
995,0.2916
1000,0.2916
1005,0.2916
1010,0.2916
1015,0.2916
1020,0.2916
1025,0.2916
1030,0.2916
1035,0.2916
1040,0.2916
1045,0.2916
1050,0.2916
1055,0.2916
1060,0.2916
1065,0.2916
1070,0.2916
1075,0.2916
1080,0.2916
1085,0.2916
1090,0.2916
1095,0.2916
1100,0.2916
1105,0.2916
1110,0.2916
1115,0.2916
1120,0.2916
1125,0.2916
1130,0.2916
1135,0.2916
1140,0.2916
1145,0.2916
1150,0.2916
1155,0.2916
1160,0.2916
1165,0.2916
1170,0.2916
1175,0.2916
1180,0.2916
1185,0.2916
1190,0.2916
1195,0.2916
1200,0.2916
1205,0.2916
1210,0.2916
1215,0.2916
1220,0.2916
1225,0.2916
1230,0.2916
1235,0.2916
1240,0.2916
1245,0.2916
1250,0.2916
1255,0.2916
1260,0.2916
1265,0.2916
1270,0.2916
1275,0.2916
1280,0.2916
1285,0.2916
1290,0.2916
1295,0.2916
1300,0.2916
1305,0.2916
1310,0.2916
1315,0.2916
1320,0.2916
1325,0.2916
1330,0.2916
1335,0.2916
1340,0.2916
1345,0.2916
1350,0.2916
1355,0.2916
1360,0.2916
1365,0.2916
1370,0.2916
1375,0.2916
1380,0.2916
1385,0.2916
1390,0.2916
1395,0.2916
1400,0.2916
1405,0.2916
1410,0.2916
1415,0.2916
1420,0.2916
1425,0.2916
1430,0.2916
1435,0.2916
1440,0.2916
1445,0.2916
1450,0.2916
1455,0.2916
1460,0.2916
1465,0.2916
1470,0.2916
1475,0.2916
1480,0.2916
1485,0.2916
1490,0.2916
1495,0.2916
1500,0.2916
1505,0.2916
1510,0.2916
1515,0.2916
1520,0.2916
1525,0.2916
1530,0.2916
1535,0.2916
