step_size,residual_node_ratio
1,1.0
2,0.9974
3,0.994
4,0.9888
5,0.9854
6,0.9833
7,0.9803
8,0.9776
9,0.9754
10,0.9734
11,0.9715
12,0.9699
13,0.9682
14,0.9664
15,0.9654
16,0.9639
17,0.9628
18,0.9617
19,0.9612
20,0.9605
21,0.9598
22,0.959
23,0.9583
24,0.9578
25,0.9571
26,0.9564
27,0.9558
28,0.955
29,0.9546
30,0.954
31,0.9532
32,0.953
33,0.9525
34,0.9524
35,0.9521
36,0.9517
37,0.9513
38,0.9512
39,0.9508
40,0.9505
41,0.9503
42,0.95
43,0.9495
44,0.9493
45,0.9491
46,0.949
47,0.9489
48,0.9488
49,0.9488
50,0.9488
51,0.9487
52,0.9487
53,0.9486
54,0.9486
55,0.9486
56,0.9483
57,0.9483
58,0.9483
59,0.9483
60,0.9483
61,0.948
62,0.948
63,0.948
64,0.9479
65,0.9478
66,0.9478
67,0.9477
68,0.9477
69,0.9477
70,0.9477
71,0.9477
72,0.9477
73,0.9477
74,0.9477
75,0.9477
76,0.9477
77,0.9477
78,0.9477
79,0.9477
80,0.9477
81,0.9477
82,0.9477
83,0.9477
84,0.9477
85,0.9477
86,0.9477
87,0.9477
88,0.9477
89,0.9477
90,0.9477
91,0.9477
92,0.9477
93,0.9477
94,0.9477
95,0.9477
96,0.9477
97,0.9477
98,0.9477
99,0.9477
100,0.9477
101,0.9477
102,0.9477
103,0.9477
104,0.9477
105,0.9477
106,0.9477
107,0.9477
108,0.9477
109,0.9477
110,0.9477
111,0.9477
112,0.9477
113,0.9477
114,0.9477
115,0.9477
116,0.9477
117,0.9477
118,0.9477
119,0.9477
120,0.9477
121,0.9477
122,0.9477
123,0.9477
124,0.9477
125,0.9477
126,0.9477
127,0.9477
128,0.9477
129,0.9477
130,0.9477
131,0.9477
132,0.9477
133,0.9477
134,0.9477
135,0.9477
136,0.9477
137,0.9477
138,0.9477
139,0.9477
140,0.9477
141,0.9477
142,0.9477
143,0.9477
144,0.9477
145,0.9477
146,0.9477
147,0.9477
148,0.9477
149,0.9477
150,0.9477
151,0.9477
152,0.9477
153,0.9477
154,0.9477
155,0.9477
156,0.9477
157,0.9477
158,0.9477
159,0.9477
160,0.9477
161,0.9477
162,0.9477
163,0.9477
164,0.9477
165,0.9477
166,0.9477
167,0.9477
168,0.9477
169,0.9477
170,0.9477
171,0.9477
172,0.9477
173,0.9477
174,0.9477
175,0.9477
176,0.9477
177,0.9477
178,0.9477
179,0.9477
180,0.9477
181,0.9477
182,0.9477
183,0.9477
184,0.9477
185,0.9477
186,0.9477
187,0.9477
188,0.9477
189,0.9477
190,0.9477
191,0.9477
192,0.9477
193,0.9477
194,0.9477
195,0.9477
196,0.9477
197,0.9477
198,0.9477
199,0.9477
200,0.9477
201,0.9477
202,0.9477
203,0.9477
204,0.9477
205,0.9477
206,0.9477
207,0.9477
208,0.9477
209,0.9477
210,0.9477
211,0.9477
212,0.9477
213,0.9477
214,0.9477
215,0.9477
216,0.9477
217,0.9477
218,0.9477
219,0.9477
220,0.9477
221,0.9477
222,0.9477
223,0.9477
224,0.9477
225,0.9477
226,0.9477
227,0.9477
228,0.9477
229,0.9477
230,0.9477
231,0.9477
232,0.9477
233,0.9477
234,0.9477
235,0.9477
236,0.9477
237,0.9477
238,0.9477
239,0.9477
240,0.9477
241,0.9477
242,0.9477
243,0.9477
244,0.9477
245,0.9477
246,0.9477
247,0.9477
248,0.9477
249,0.9477
250,0.9477
251,0.9477
252,0.9477
253,0.9477
254,0.9477
255,0.9477
256,0.9477
257,0.9477
258,0.9477
259,0.9477
260,0.9477
261,0.9477
262,0.9477
263,0.9477
264,0.9477
265,0.9477
266,0.9477
267,0.9477
268,0.9477
269,0.9477
270,0.9477
271,0.9477
272,0.9477
273,0.9477
274,0.9477
275,0.9477
276,0.9477
277,0.9477
278,0.9477
279,0.9477
280,0.9477
281,0.9477
282,0.9477
283,0.9477
284,0.9477
285,0.9477
286,0.9477
287,0.9477
288,0.9477
289,0.9477
290,0.9477
291,0.9477
292,0.9477
293,0.9477
294,0.9477
295,0.9477
296,0.9477
297,0.9477
298,0.9477
299,0.9477
300,0.9477
301,0.9477
302,0.9477
303,0.9477
304,0.9477
305,0.9477
306,0.9477
307,0.9477
308,0.9477
309,0.9477
310,0.9477
311,0.9477
